hanzi_simplified,hanzi_traditional,pinyin,english_meanings,hsk_levels,pos,frequency_rank,character_count,length_bucket,example_zh,example_en
不好意思,不好意思,bù hǎo yì si,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb),"newest-2, new-2, old-5","v, a",2805,4,4+-char,我每天都不好意思。,I to feel embarrassed every day.
也就是说,也就是說,yě jiù shì shuō,in other words; that is to say; so; thus,new-7,v,3200,4,4+-char,我每天都也就是说。,I in other words every day.
改革开放,改革開放,gǎi gé kāi fàng,to reform and open to the outside world; refers to Deng Xiaoping's policies from around 1980,new-7,,3630,4,4+-char,我在学习“改革开放”。,I'm learning '改革开放'.
不可思议,不可思議,bù kě sī yì,inconceivable (idiom); unimaginable; unfathomable,"newest-7, new-7, old-6",l,4689,4,4+-char,我在学习“不可思议”。,I'm learning '不可思议'.
与此同时,與此同時,yǔ cǐ tóng shí,at the same time; meanwhile,new-7,c,4800,4,4+-char,我在学习“与此同时”。,I'm learning '与此同时'.
无论如何,無論如何,wú lùn rú hé,whatever the case; in any event; no matter what; by all possible means,"newest-7, new-7",l,4814,4,4+-char,我在学习“无论如何”。,I'm learning '无论如何'.
另一方面,另一方面,lìng yī fāng miàn,on the other hand; another aspect,new-3,c,4851,4,4+-char,我在学习“另一方面”。,I'm learning '另一方面'.
高速公路,高速公路,gāo sù gōng lù,expressway; highway; freeway,new-3,n,5363,4,4+-char,这是高速公路。,This is an expressway; highway; freeway.
中华民族,中華民族,Zhōng huá mín zú,the Chinese nation; the Chinese people (collective reference to all the ethnic groups in China),"newest-5, new-3",,6125,4,4+-char,我在学习“中华民族”。,I'm learning '中华民族'.
与众不同,與眾不同,yǔ zhòng bù tóng,to stand out from the masses (idiom),"newest-7, new-7",v,6561,4,4+-char,我每天都与众不同。,I to stand out from the masses every day.
除此之外,除此之外,chú cǐ zhī wài,apart from this; in addition to this,new-7,"l, c",6961,4,4+-char,我在学习“除此之外”。,I'm learning '除此之外'.
社会主义,社會主義,shè huì zhǔ yì,socialism,"newest-7, new-7",n,7317,4,4+-char,这是社会主义。,This is a socialism.
