hanzi_simplified,hanzi_traditional,pinyin,english_meanings,hsk_levels,pos,frequency_rank,character_count,length_bucket,example_zh,example_en
为什么,為什麼,wèi shén me,why?; for what reason?,"newest-2, new-2, old-3",r,299,3,3-char,我在学习“为什么”。,I'm learning '为什么'.
越来越,越來越,yuè lái yuè,more and more,new-2,d,982,3,3-char,他越来越来。,He comes more and more.
办公室,辦公室,bàn gōng shì,office; business premises; bureau,"newest-3, new-2, old-3",n,1162,3,3-char,这是办公室。,This is an office.
打电话,打電話,dǎ diàn huà,to make a telephone call,"newest-1, new-1, old-1",v,1218,3,3-char,我每天都打电话。,I to make a telephone call every day.
实际上,實際上,shí jì shàng,in fact; in reality; as a matter of fact; in practice,"newest-4, new-3",d,1232,3,3-char,他实际上来。,He comes in fact.
怎么样,怎麼樣,zěn me yàng,how?; how about?; how was it?; how are things?,"newest-1, new-2, old-1",r,1367,3,3-char,我在学习“怎么样”。,I'm learning '怎么样'.
怎么办,怎麼辦,zěn me bàn,what's to be done,"newest-3, new-2","r, v",1422,3,3-char,我在学习“怎么办”。,I'm learning '怎么办'.
事实上,事實上,shì shí shàng,in fact; in reality; actually; as a matter of fact; de facto; ipso facto,new-3,l,1577,3,3-char,我在学习“事实上”。,I'm learning '事实上'.
对不起,對不起,duì bu qǐ,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint,"newest-1, new-1, old-1",v,1577,3,3-char,我每天都对不起。,I I'm sorry; excuse me; I beg your pardon every day.
意味着,意味著,yì wèi zhe,to signify; to mean; to imply,"newest-5, new-5, old-6",v,1594,3,3-char,我每天都意味着。,I to signify every day.
俱乐部,俱樂部,jù lè bù,club (the organisation or its premises) (loanword),"newest-6, new-5, old-5",n,1603,3,3-char,这是俱乐部。,This is a club.
不得不,不得不,bù dé bù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,"newest-4, new-3, old-4",d,1606,3,3-char,他不得不来。,He comes have no choice or option but to.
委员会,委員會,wěi yuán huì,committee,"newest-7, new-7",n,1659,3,3-char,这是委员会。,This is a committee.
没什么,沒什麼,méi shén me,nothing; it doesn't matter; it's nothing; never mind,new-1,v,1659,3,3-char,我每天都没什么。,I nothing every day.
有时候,有時候,yǒu shí hou,sometimes,new-1,d,1725,3,3-char,他有时候来。,He comes sometimes.
说实话,說實話,shuō shí huà,to speak the truth; truth to tell; frankly,new-6,v,1740,3,3-char,我每天都说实话。,I to speak the truth every day.
