hanzi_simplified,hanzi_traditional,pinyin,english_meanings,hsk_levels,pos,frequency_rank,character_count,length_bucket,example_zh,example_en
的,的,de,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); also pr. [dì] or [di] in poetry and songs,"newest-1, new-1, old-1","u, n",1,1,1-char,这是我的书。,This is my book.
了,了,le,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)","newest-1, new-1, old-1","y, u, v",3,1,1-char,我吃了。,I ate.
我,我,wǒ,I; me; my,"newest-1, new-1, old-1",r,3,1,1-char,我在这里。,I am here.
是,是,shì,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion),"newest-1, new-1, old-1",v,4,1,1-char,他是老师。,He is a teacher.
你,你,nǐ,"you (informal, as opposed to courteous 您)","newest-1, new-1, old-1",r,5,1,1-char,你在这里。,You are here.
在,在,zài,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),"newest-1, new-1, old-1","p, v, d",5,1,1-char,我在家。,I am at home.
不,不,bù,no; not so; (bound form) not; un-,"newest-1, new-1, old-1",d,9,1,1-char,我不去。,I am not going.
有,有,yǒu,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 意 intentional),"newest-1, new-1, old-1",v,9,1,1-char,我有时间。,I have time.
他,他,tā,he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other,"newest-1, new-1, old-1",r,10,1,1-char,他在这里。,He is here.
这,這,zhè,"(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhèi], esp. in Beijing)","newest-1, new-1, old-1",r,11,1,1-char,我在学习“这”。,I'm learning '这'.
就,就,jiù,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 是) merely; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (often followed by 着) taking advantage of; (of food) to go with; with regard to; concerning; (pattern: 就 ... 也 ...) even if ... still ...; (pattern: 不 ... 就 ...) if not ... then must be ...,"newest-2, new-1, old-2","d, p, c, v",15,1,1-char,他就来。,He comes in that case; then.
个,個,gě,used in 自个儿,"newest-1, new-1, old-1","q, g",19,1,1-char,我在学习“个”。,I'm learning '个'.
人,人,rén,person; people,"newest-1, new-1, old-1",n,19,1,1-char,这是人。,This is a person; people.
和,咊,hé,old variant of 和,"newest-1, new-1, old-1","cc, p, v, qv, g, n",19,1,1-char,我和你一起去。,You and I go together.
